,A Factor,Delta B,Price
0,0.0,1.0,1.0
1,0.0,527.0,1.1111111111111112
2,0.0,1001.0,1.2222222222222223
3,0.0,1429.0,1.3333333333333333
4,0.0,1819.0,1.4444444444444444
5,0.0,2175.0,1.5555555555555556
6,0.0,2501.0,1.6666666666666665
7,0.0,2801.0,1.7777777777777777
8,0.0,3078.0,1.8888888888888888
9,0.0,3334.0,2.0
10,1.0,0.9999666677776986,1.0
11,1.0,1508.257204313044,1.1111111111111112
12,1.0,2676.5105938126035,1.2222222222222223
13,1.0,3557.133216219636,1.3333333333333333
14,1.0,4228.574376909626,1.4444444444444444
15,1.0,4753.2902941685,1.5555555555555556
16,1.0,5173.963136816901,1.6666666666666665
17,1.0,5518.609702574447,1.7777777777777777
18,1.0,5807.388116558831,1.8888888888888888
19,1.0,6052.866224999754,2.0
20,2.0,0.9999800004006829,1.0
21,2.0,2379.2247827041174,1.1111111111111112
22,2.0,3877.3772517623893,1.2222222222222223
23,2.0,4819.374302020926,1.3333333333333333
24,2.0,5460.190597315155,1.4444444444444444
25,2.0,5926.997061899003,1.5555555555555556
26,2.0,6284.377752262326,1.6666666666666665
27,2.0,6568.629190655733,1.7777777777777777
28,2.0,6801.7435412128325,1.8888888888888888
29,2.0,6996.283862454733,2.0
30,3.0,0.9999857144885027,1.0
31,3.0,3096.7990823747086,1.1111111111111112
32,3.0,4681.227143221381,1.2222222222222223
33,3.0,5572.641878077568,1.3333333333333333
34,3.0,6149.3572680694015,1.4444444444444444
35,3.0,6558.764650776253,1.5555555555555556
36,3.0,6867.055895221916,1.6666666666666665
37,3.0,7110.610682959678,1.7777777777777777
38,3.0,7308.228256339002,1.8888888888888888
39,3.0,7472.912730997057,2.0
40,4.0,0.9999888890124566,1.0
41,4.0,3675.23315225233,1.1111111111111112
42,4.0,5247.981811515875,1.2222222222222223
43,4.0,6075.946484702463,1.3333333333333333
44,4.0,6597.839758260278,1.4444444444444444
45,4.0,6963.863489616288,1.5555555555555556
46,4.0,7237.988741630384,1.6666666666666665
47,4.0,7453.083035547632,1.7777777777777777
48,4.0,7627.791591502961,1.8888888888888888
49,4.0,7772.922721213588,2.0
50,5.0,0.9999909091748123,1.0
51,5.0,4144.696091937082,1.1111111111111112
52,5.0,5669.1094596524545,1.2222222222222223
53,5.0,6439.098223459416,1.3333333333333333
54,5.0,6918.452664430302,1.4444444444444444
55,5.0,7251.759334468003,1.5555555555555556
56,5.0,7501.013144802648,1.6666666666666665
57,5.0,7695.737537334491,1.7777777777777777
58,5.0,7853.504259402909,1.8888888888888888
59,5.0,7984.223200650144,2.0
60,6.0,0.9999923077521089,1.0
61,6.0,4531.022833194983,1.1111111111111112
62,6.0,5997.2696925415785,1.2222222222222223
63,6.0,6717.796082174145,1.3333333333333333
64,6.0,7161.792580438474,1.4444444444444444
65,6.0,7469.737701989701,1.5555555555555556
66,6.0,7699.12270595426,1.6666666666666665
67,6.0,7878.745802043675,1.7777777777777777
68,6.0,8023.4179357484345,1.8888888888888888
69,6.0,8143.849245492069,2.0
70,7.0,0.9999933333783702,1.0
71,7.0,4854.622817045012,1.1111111111111112
72,7.0,6260.798918417476,1.2222222222222223
73,7.0,6939.7196603909615,1.3333333333333333
74,7.0,7355.537675435862,1.4444444444444444
75,7.0,7642.744984589321,1.5555555555555556
76,7.0,7856.561755957556,1.6666666666666665
77,7.0,8023.380065392255,1.7777777777777777
78,7.0,8158.213193377371,1.8888888888888888
79,7.0,8269.885672608154,2.0
80,8.0,0.9999941176811262,1.0
81,8.0,5128.621627505215,1.1111111111111112
82,8.0,6478.934426732285,1.2222222222222223
83,8.0,7121.722175808713,1.3333333333333333
84,8.0,7513.020602364338,1.4444444444444444
85,8.0,7783.561025620135,1.5555555555555556
86,8.0,7984.3477149144555,1.6666666666666665
87,8.0,8141.3005638735485,1.7777777777777777
88,8.0,8267.94900938891,1.8888888888888888
89,8.0,8372.927047776091,2.0
90,9.0,0.9999947368687572,1.0
91,9.0,5365.154685308103,1.1111111111111112
92,9.0,6662.954896467536,1.2222222222222223
93,9.0,7274.327632998308,1.3333333333333333
94,9.0,7646.113285545578,1.4444444444444444
95,9.0,7901.92712931217,1.5555555555555556
96,9.0,8092.120948701146,1.6666666666666665
97,9.0,8239.768317104563,1.7777777777777777
98,9.0,8359.872355248252,1.8888888888888888
99,9.0,8458.68263512502,2.0
100,10.0,0.9999952381167532,1.0
101,10.0,5570.877824318269,1.1111111111111112
102,10.0,6820.471570260702,1.2222222222222223
103,10.0,7404.3886926760515,1.3333333333333333
104,10.0,7758.882765651566,1.4444444444444444
105,10.0,8002.686672587308,1.5555555555555556
106,10.0,8183.561191972786,1.6666666666666665
107,10.0,8324.229486376447,1.7777777777777777
108,10.0,8437.790624740319,1.8888888888888888
109,10.0,8532.485950740242,2.0
