,bean,usdc,delta_B
0,9900.990099009901,10000.0,49.38180308999108
1,9685.566253551226,10000.0,156.7982784684773
2,9493.996998199475,10000.0,252.3444652151593
3,9306.130949281729,10000.0,346.042963761749
4,9121.861601292525,10000.0,437.94701114766576
5,8958.961908994017,10000.0,519.216459127425
6,8781.24873142982,10000.0,607.849012931083
7,8606.846646022259,10000.0,694.829331631372
8,8435.66430245628,10000.0,780.2028562153064
9,8284.235095555125,10000.0,855.7466061832092
10,8118.930731501932,10000.0,938.1862222605323
